question,expected,actual,correct,score,type
What is a tuple?,number of values separated by commas,"A tuple consists of a number of values separated by commas, for instance: >>> t = 12345, 54321, 'hello!' >>> t[0] 12345 >>> t (12345, 54321, 'hello!') >>> # Tuples may be nested: ... u = t, (1, 2, 3, 4, 5) >>> u ((12345, 54321, 'hello!'), (1, 2, 3, 4, 5))",True,0.833,factual
Give an example of a tuple?,for instance,"A tuple consists of a number of values separated by commas, for instance: 

>>> t = 12345, 54321, 'hello!'",True,0.5,factual
What are tuples used for?,different situations and for different purposes than lists,"Tuples are used for different situations and purposes, often in contrast to lists. They are immutable, usually contain a heterogeneous sequence of elements accessed via unpacking or indexing, and can contain mutable objects.",True,0.571,factual
What is a list?,compound data type used to group together other values,"A list is a compound data type, used to group together other values. The most versatile is the list, which can be written as a list of comma-separated values (items) between square brackets. Lists might contain items of different types, but usually the items all have the same type.",True,0.889,factual
What is a dictionary?,associative memories,A dictionary is an associative array where arbitrary keys are mapped to values.,True,0.5,factual
What is a set?,unordered collection with no duplicate elements,A set is an unordered collection with no duplicate elements.,True,0.879,factual
What is a module?,organizational unit of Python code,A module is an object that serves as an organizational unit of Python code.,True,0.8,factual
What is a function?,named function,A function object is defined corresponding to methods of its instances.,True,0.5,factual
What is an exception?,derived from the Exception class,"""Exceptions should typically be derived from the Exception class, either directly or indirectly.""",True,0.8,factual
What is a class?,bundling data and functionality together,A class provides a means of bundling data and functionality together.,True,0.8,factual
